id,name,addr,city,ctry,code
1,1 MOBILE LIMITED,30 CITY ROAD,LONDON,UK,EC1Y 2AB
2,1 TECH LTD,57 CHARTERHOUSE STREET,LONDON,UK,EC1M 6HA
3,23 SNAPS LIMITED,16 BOWLING GREEN LANE,LONDON,UK,EC1R 0BD
4,2E2 SERVICES LIMITED,200 200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
5,2E2 UK LIMITED,200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
6,40 50 MEDIA LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
7,4D DATA CENTRES LIMITED,30 CITY ROAD,LONDON,UK,EC1 2AB
8,4GETMOBILE LIMITED,152 KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
9,4SL CONSULTING LIMITED,4 SNOW HILL ,LONDON,UK,EC1A 2DJ
10,4TC SERVICES LIMITED,355 GOSWELL ROAD ,LONDON,UK,EC1V 7JL
11,A-INFINITY LIMITED,"AKIN PALMER LLP 3, ANGEL GATE 326 CITY ROAD",LONDON,UK,EC1V 2PT
12,A-TEK SOLUTIONS LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
13,A.I. TALENT LTD,LONGBOW HOUSE CHISWELL STREET,LONDON,UK,EC1Y 4TW
14,AAA CONSULT LTD,2ND FLOOR 145-157 ST. JOHN STREET,LONDON,UK,EC1V 4PY
15,AARDVARK UPRISING LIMITED,UNIT 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
16,AB TECHSYS LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
17,ABLINX LIMITED,"7TH FLOOR, 16 ST. MARTIN'S LE GRAND",LONDON,UK,EC1A 4EE
18,ABSU LIMITED,THIRD FLOOR 111 CHARTERHOUSE STREET,LONDON,UK,EC1M 6AW
19,ABV SOLUTIONS LTD,C/O CAYOS CONSULTING SERVICES 40 BOWLING GREEN LANE,LONDON,UK,EC1R 0NE
20,ACTION FOR THE FUTURE LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
21,ACTIVATED THINKING LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
22,ACTIVON PROJECTS LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,CITY OF LONDON|LONDON,UK,EC1A 2BN
23,ACTURIS LIMITED,COURTYARD SUITE 100 HATTON GARDEN,LONDON,UK,EC1N 8NX
24,AD PEPPER MEDIA UK LIMITED,20 FARRINGDON ROAD ,LONDON,UK,EC1M 3HE
25,ADCOMPASS LTD.,6-8 SYCAMORE STREET ,LONDON,UK,EC1Y 0SW
26,ADD TO CART LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
27,ADFORM LONDON LIMITED,GATE HOUSE 1 ST JOHN'S SQUARE,LONDON,UK,EC1M 4DH
28,ADLUDIO LIMITED,1 HARDWICK STREET HARDWICK STREET,LONDON,UK,EC1R 4RB
29,AFIN-IT GROUP LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
30,AFTER THE FLOOD LIMITED,140-142 ST. JOHN STREET ,LONDON,UK,EC1V 4UB
31,AGILE ALLIANCE LIMITED,24 INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
32,AGM SOLUTIONS LIMITED,152 KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
33,AGOC DIGITAL PRIVATE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
34,AI CONTROLPOINT LIMITED,LONGBOW HOUSE CHISWELL STREET,LONDON,UK,EC1Y 4TW
35,AIM ITC LTD,UNIT/OFFICE 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PG
36,ALCHEMYWORKS LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
37,ALCHERA TECHNOLOGIES LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT CITY OF LONDON,LONDON,UK,EC1A 2BN
38,ALMARADIX LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
39,ALTIASERVICES LTD.,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
40,ALTIATECH LTD,152 CITY ROAD ,LONDON,UK,EC1V 2NX
41,AM TECHNICAL LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
42,AMBIENCE INVESTMENT LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
43,AMISSION LTD,LANDON SEAMER 335 CITY ROAD,LONDON,UK,EC1V 1LJ
44,AMLEU SOFTWARE DEVELOPMENT UK LIMITED,1 CHARTERHOUSE MEWS ,LONDON,UK,EC1M 6BB
45,ANGELLIST LIMITED,2ND FLOOR WHITE BEAR YARD CLERKENWELL ROAD,LONDON,UK,EC1R 5DF
46,ANGLO PAK SOLUTION LIMITED,"KEMP HOUSE,152 CITY ROAD",LONDON,UK,EC1V 2NX
47,ANOMALIES LIMITED,123 ALDERSGATE STREET ,LONDON,UK,EC1A 4JQ
48,ANVIL RECRUITMENT LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
49,APP-ALACARTE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
50,APPDRAGON LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
51,ARCHON DEVELOPMENT UK LTD,SUITE A 6 HONDURAS STREET,LONDON,UK,EC1Y 0TH
52,ARCTOUS LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
53,ARCTREE CONSULTING LIMITED,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
54,AREZA LIMITED,24 HOLBORN VIADUCT ,LONDON,UK,EC1A 2BN
